identifier,en-US,de,es-ES,context
firstLaunchWelcomeTitle,"Thanks for installing SF Tabs!",,,"First launch modal header"
firstLaunchSetupDefaultTitle,Start with default tabs,,,"Setup option title for starting with default tabs"
firstLaunchSetupDefaultDescription,Start with the standard set of tabs,,,"Setup option description for starting with default tabs"
firstLaunchSetupEmptyTitle,Start with no tabs,,,"Setup option title for starting with an empty profile"
firstLaunchSetupEmptyDescription,Begin with an empty profile and add tabs manually,,,"Setup option description for starting with an empty profile"
firstLaunchSetupImportTitle,Import existing configuration,,,"Setup option title for importing an existing configuration"
firstLaunchSetupImportDescription,Import an SF Tabs configuration file,,,"Setup option description for importing an existing configuration"
firstLaunchEnableProfilesTitle,Enable Profiles,,,"Profiles toggle option title"
firstLaunchEnableProfilesDescription,Profiles let you manage different tab configurations,,,"Profiles toggle option description"
firstLaunchSyncStorageTitle,Sync Storage,,,"Sync storage option title"
firstLaunchSyncStorageDescription,Your tabs can sync across devices,,,"Sync storage option description"
firstLaunchLocalStorageTitle,Local Storage,,,"Local storage option title"
firstLaunchLocalStorageDescription,Stored on this device only,,,"Local storage option description"
firstLaunchGuideButton,User Guide,,,"Button that opens the user guide"
firstLaunchGetStartedButton,Get Started,,,"Primary button to complete first-launch setup"
firstLaunchSyncFoundTitle,Synced Configuration Found,,,"Heading shown when existing sync data is detected on a new device"
firstLaunchSyncFoundMessage,"We found existing SF Tabs data in your browser sync$PROFILES$.",,,"{PROFILES} is replaced with ' (X profiles with tabs)' when profiles exist, or omitted entirely"
firstLaunchSyncFoundQuestion,Would you like to use it or start fresh?,,,"Follow-up question shown below the sync data detected message"
firstLaunchUseSyncedButton,"Use Synced Configuration (Recommended)",,,Button to accept and load the existing synced configuration
firstLaunchStartFreshButton,Start Fresh with New Setup,,,"Button to discard synced data and run the normal setup wizard"
firstLaunchErrorLoadingSync,"Error loading synced data: $ERROR$",,,"{ERROR} is replaced with the error message"
firstLaunchErrorClearingSync,"Error clearing sync data: $ERROR$",,,"{ERROR} is replaced with the error message"
firstLaunchErrorSetup,"Error during setup: $ERROR$",,,"{ERROR} is replaced with the error message"
